Sigla,Município,Q1,Q2,Q3,Q4,Average Precipitation,,,,
BA,Érico Cardoso,142.3,68.83,16.4,89.67,79.3,,,,
BA,Aiquara,120.2,106.3,88.83,98.6,103.4825,,,,
BA,Alagoinhas,73.37,140.9,116.13,72.73,100.7825,,,,
BA,Alcobaça,108.26,112.01,83.67,123.46,106.85,,,,
BA,Almadina,119.7,100.83,86.47,97.77,101.1925,,,,
BA,Amargosa,106.63,91.83,80.83,71.93,87.805,,,,
BA,Amélia Rodrigues,83.53,163.37,125.7,79.43,113.0075,,,,
BA,América Dourada,88.72,46.48,4.14,48.16,46.875,,,,
BA,Anagé,99.8,43.11,7.24,55.32,51.3675,,,,
BA,Andaraí,124.78,87,30.83,74.5,79.2775,,,,
BA,Andorinha,70.33,71.17,36.25,28.72,51.6175,,,,
BA,Angical,167.18,85.89,3.12,88.13,86.08,,,,
BA,Anguera,72.03,71.2,55.07,42.83,60.2825,,,,
BA,Antas,45.4,92.2,80.73,28.53,61.715,,,,
BA,Antônio Cardoso,74.8,116.23,92.3,61.07,86.1,,,,
BA,Antônio Gonçalves,81.55,91.27,60.98,39.53,68.3325,,,,
BA,Aporá,64.43,115.07,96.97,57.6,83.5175,,,,
BA,Apuarema,134.8,150.57,166.53,134.8,146.675,,,,
BA,Aracatu,92.78,49.67,11.89,53.87,52.0525,,,,
BA,Araças,78.33,171.82,142.32,83.83,119.075,,,,
BA,Araci,63.51,69.98,39.95,33.46,51.725,,,,
BA,Aramari,74.4,123.17,99.83,65.57,90.7425,,,,
BA,Arataca,130.73,118.3,103.37,118.73,117.7825,,,,
BA,Aratuípe,112.17,176.53,174.33,105.4,142.1075,,,,
BA,Aurelino Leal,123.4,122.53,110.67,104.87,115.3675,,,,
BA,Baianópolis,164.84,84.27,2.06,96.14,86.8275,,,,
BA,Baixa Grande,84.34,71.11,50.62,46.5,63.1425,,,,
BA,Banzaê,53.4,86.47,80.47,33.7,63.51,,,,
BA,Barra,131.96,72.22,1.42,62.02,66.905,,,,
BA,Barra da Estiva,108.64,68.09,28.53,65.7,67.74,,,,
BA,Barra do Choça,89.22,50.93,31.8,62.68,58.6575,,,,
BA,Barra do Mendes,99.04,47.26,3.41,55.25,51.24,,,,
BA,Barra do Rocha,130.02,132.6,132.62,114.07,127.3275,,,,
BA,Barreiras,215.97,107.15,3.77,110.77,109.415,,,,
BA,Barro Alto,96.5,48.53,7.97,49.8,50.7,,,,
BA,Barrocas,,,,,#DIV/0!,,,,
BA,Governador Lomanto Júnior,125.47,119.23,114.4,115.7,118.7,,,,
BA,Belmonte,129.56,146.44,132.06,137.23,136.3225,,,,
BA,Belo Campo,119.56,43.04,7.42,74.21,61.0575,,,,
BA,Biritinga,56,77.63,58.1,38.3,57.5075,,,,
BA,Boa Nova,98.45,60.93,35.57,65,64.9875,,,,
BA,Boa Vista do Tupim,98.55,62.17,23.76,48.58,58.265,,,,
BA,Bom Jesus da Lapa,142.03,61.62,1.06,72.02,69.1825,,,,
BA,Bom Jesus da Serra,90.35,41.53,9.3,48.62,47.45,,,,
BA,Boninal,101.33,55.22,10.13,63.39,57.5175,,,,
BA,Bonito,98.67,61.48,32.42,58.48,62.7625,,,,
BA,Boquira,120.17,56.81,2.59,71.4,62.7425,,,,
BA,Botuporã,128.42,55.62,1.37,76.23,65.41,,,,
BA,Brejões,88.13,70.93,55.73,54.53,67.33,,,,
BA,Brejolândia,136.95,66.37,1.11,75.19,69.905,,,,
BA,Brotas de Macaúbas,109.94,51.81,3.82,59.72,56.3225,,,,
BA,Brumado,92.87,41.33,4.58,58.01,49.1975,,,,
BA,Buerarema,131.23,119.9,99.2,113.37,115.925,,,,
BA,Buritirama,149.15,81.97,1.61,67.34,75.0175,,,,
BA,Caatiba,99.77,72.53,50.3,73.77,74.0925,,,,
BA,Cabaceiras do Paraguaçu,68.6,99.27,85.57,58.37,77.9525,,,,
BA,Cachoeira,82.97,165.9,137.43,80.3,116.65,,,,
BA,Caculé,123.4,47.3,2.33,69.87,60.725,,,,
BA,Caém,99.47,96.9,59.8,49.73,76.475,,,,
BA,Caetanos,93.2,48.53,10.07,49.5,50.325,,,,
BA,Caetité,140.23,53.75,4.63,77.61,69.055,,,,
BA,Cafarnaum,92.32,48.52,10.8,49.03,50.1675,,,,
BA,Cairu,150.67,246.5,218.83,143.57,189.8925,,,,
BA,Caldeirão Grande,87.6,79.75,46.18,43.07,64.15,,,,
BA,Camacan,119.2,111.78,97.26,119.86,112.025,,,,
BA,Camaçari,96.78,234.63,171.42,98.05,150.22,,,,
BA,Camamu,162.98,202.22,191.95,148.53,176.42,,,,
BA,Campo Alegre de Lourdes,113.09,78.04,1.28,47.35,59.94,,,,
BA,Campo Formoso,68.88,50.11,12.26,27.13,39.595,,,,
BA,Canápolis,180.27,84.03,2.37,100.73,91.85,,,,
BA,Canarana,95.93,47.33,4.07,49.67,49.25,,,,
BA,Canavieiras,135.96,148.32,134.72,142.12,140.28,,,,
BA,Candeal,69.97,63.07,50.17,41.83,56.26,,,,
BA,Candeias,88.4,224.8,169.1,102.07,146.0925,,,,
BA,Candiba,137.67,47.4,1.5,70.77,64.335,,,,
BA,Cândido Sales,136.87,52.16,11.28,90.33,72.66,,,,
BA,Cansanção,49.66,55.89,33.39,24.29,40.8075,,,,
BA,Canudos,59.01,69.24,39.61,24.25,48.0275,,,,
BA,Capela do Alto Alegre,74.2,65.38,49.98,37.85,56.8525,,,,
BA,Capim Grosso,76.87,63.13,41.43,39.37,55.2,,,,
BA,Caraíbas,88.99,38.9,3.74,54.5,46.5325,,,,
BA,Caravelas,121.14,97.04,68.59,118.58,101.3375,,,,
BA,Cardeal da Silva,86.43,193.8,168.83,86.5,133.89,,,,
BA,Carinhanha,139.94,53.08,1.24,70.45,66.1775,,,,
BA,Casa Nova,78.85,68.21,2.4,26.82,44.07,,,,
BA,Castro Alves,69.23,73.5,66.3,52.7,65.4325,,,,
BA,Catolândia,168.68,90.13,3.05,95.33,89.2975,,,,
BA,Catu,76.98,180.13,143.25,87.62,121.995,,,,
BA,Caturama,148.6,61.1,2.5,86.3,74.625,,,,
BA,Central,95.77,53.93,1.93,43.07,48.675,,,,
BA,Chorrochó,61.92,63.56,11.1,14.44,37.755,,,,
BA,Cícero Dantas,58.77,100.83,93.63,40,73.3075,,,,
BA,Cipó,62.53,116.17,90.97,43.77,78.36,,,,
BA,Coaraci,124.93,103.9,87.4,100.73,104.24,,,,
BA,Cocos,194.84,76.95,3.2,97.49,93.12,,,,
BA,Conceição da Feira,77.77,135.4,115.07,70.73,99.7425,,,,
BA,Conceição do Almeida,83.5,115.5,101.83,72.27,93.275,,,,
BA,Conceição do Coité,62.67,55.33,35.04,35.25,47.0725,,,,
BA,Conceição do Jacuípe,78.4,129.77,100.63,67.03,93.9575,,,,
BA,Conde,73.16,185.59,161.82,71.78,123.0875,,,,
BA,Condeúba,115.94,44.95,4.3,77.23,60.605,,,,
BA,Contendas do Sincorá,96.77,54.55,12.13,53.05,54.125,,,,
BA,Coração de Maria,78.4,129.77,100.63,67.03,93.9575,,,,
